SYMBOL,START,END,,,
COALINDIA,01/01/2023,07/08/2023,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
1/2/2023 15:30:00,226.75,227.2,224.15,224.75,4210225
1/3/2023 15:30:00,225,225.75,223,224.1,3643132
1/4/2023 15:30:00,224.35,224.5,216.25,217.15,9550461
1/5/2023 15:30:00,216.8,218.9,215.2,218.15,8815728
1/6/2023 15:30:00,219,219.9,212,214.25,12237065
1/9/2023 15:30:00,215.35,217.7,214,214.95,6967190
1/10/2023 15:30:00,215,217.3,214.2,216.75,5400260
1/11/2023 15:30:00,217.3,218.5,212.2,213.4,7637956
1/12/2023 15:30:00,215.5,217,212.8,213.9,7161675
1/13/2023 15:30:00,214.2,215.7,213.55,215.1,3671193
1/16/2023 15:30:00,215.5,215.9,212.45,213.75,3987352
1/17/2023 15:30:00,213.75,215.15,211.1,213.1,5871758
1/18/2023 15:30:00,213.85,217.35,213.2,216.85,6441530
1/19/2023 15:30:00,216.75,224.8,215.15,223.95,12938871
1/20/2023 15:30:00,224.85,229.25,222.75,227,13444947
1/23/2023 15:30:00,228.5,230.4,227.2,230.1,8736715
1/24/2023 15:30:00,230.2,232,227.2,227.6,4252051
1/25/2023 15:30:00,227.8,228,223.75,226.15,3855827
1/27/2023 15:30:00,227,227.65,219.3,222.4,6171667
1/30/2023 15:30:00,222.4,226.8,220.75,225.85,6172517
1/31/2023 15:30:00,225,228.35,223.9,224.85,7424552
2/1/2023 15:30:00,228,228,214.15,220.65,24008324
2/2/2023 15:30:00,221,221.7,217,217.65,6806578
2/3/2023 15:30:00,218,220.7,214.6,218.9,8776614
2/6/2023 15:30:00,219.2,220.35,215.65,219.6,5742881
2/7/2023 15:30:00,219.6,221.15,217,219.7,4907167
2/8/2023 15:30:00,214.75,217.15,214.15,215.5,6316867
2/9/2023 15:30:00,216,216.8,213.2,214.55,4383159
2/10/2023 15:30:00,214,214.4,210.95,211.5,4954439
2/13/2023 15:30:00,211.5,213.7,209.15,213.05,6142208
2/14/2023 15:30:00,213.05,214.3,211.1,211.75,6758731
2/15/2023 15:30:00,211,213.8,210.3,212.9,9612884
2/16/2023 15:30:00,213.5,216.5,213.1,215.45,13093683
2/17/2023 15:30:00,214.85,218.25,214.2,217.5,7243093
2/20/2023 15:30:00,217.85,218.95,215.95,218.3,8479587
2/21/2023 15:30:00,218.8,219.2,213.35,214.05,4655766
2/22/2023 15:30:00,214.55,215.85,211.6,211.85,6003852
2/23/2023 15:30:00,212.95,215.95,212.45,214.9,6219715
2/24/2023 15:30:00,216,217.3,214.7,217.05,5154174
2/27/2023 15:30:00,217,218,215.1,216.95,4841279
2/28/2023 15:30:00,216.6,216.95,212,215.4,6054079
3/1/2023 15:30:00,215.4,219,214.5,218.75,4510175
3/2/2023 15:30:00,218.75,224.45,217.35,222.85,11354939
3/3/2023 15:30:00,223.9,226.45,222.4,222.95,7089438
3/6/2023 15:30:00,222.95,225.5,221.75,224.9,4771341
3/8/2023 15:30:00,224.85,225.15,222.65,224.85,4271464
3/9/2023 15:30:00,224.85,226.95,223.65,224.8,4263468
3/10/2023 15:30:00,222.95,225.3,221.45,224.35,3670173
3/13/2023 15:30:00,224.2,225.75,219.35,220.8,3877606
3/14/2023 15:30:00,220.8,222.8,218.85,221.05,5723922
3/15/2023 15:30:00,221.95,223.2,219.6,219.9,2992144
3/16/2023 15:30:00,218.55,222.45,216.35,220.85,4988245
3/17/2023 15:30:00,222,225.95,220.1,221.65,15720256
3/20/2023 15:30:00,220,221.6,215.7,217.05,4244575
3/21/2023 15:30:00,218.15,218.95,215.95,217.05,3998751
3/22/2023 15:30:00,216.9,216.9,213.1,213.95,9675449
3/23/2023 15:30:00,213.15,214.75,212.4,213.35,4730918
